Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
27327;Kentucky Bourbon 10YO 45% 70cl;-;30,99;44,27;-;-;-;45;98,37777777777778
27328;Kindzmarauli Red Semi 12% 75cl;-;7,15;9,53;-;-;-;12;79,41666666666666
27331;Laplandia Bilberry Shot 40% 70cl;-;17,99;25,70;-;-;-;40;64,25
27332;Laplandia Coco Shot 37.5% 70cl;-;14,99;21,41;-;-;-;37.5;57,093333333333334
27333;Laplandia Lingonberry Shot 40% 70cl;-;17,99;25,70;-;-;-;40;64,25
27330;Laplandia 40% 300cl;-;119,90;39,97;-;-;-;40;99,925
27338;Montalto Passivento Bianco 12,5% 75cl;-;6,49;8,65;-;-;-;12,5;69,2
27335;Laurent Miquel  Chardonnay 13% 75cl;-;6,49;8,65;-;-;-;13;66,53846153846153
27336;Laurent Miquel Cab.Syrah 13,5% 75cl;-;6,49;8,65;-;-;-;13,5;64,07407407407408
27339;Mionetto Prosecco Extra Dry 11% 75cl;-;6,39;8,52;-;-;-;11;77,45454545454545
27345;LIELVĀRDES Upeņu Stauts 5,4% 50cl;-;LIELV�RDES Upeņu Stauts 5,4% 50cl;1,09;-;-;-;5,4;20,185185185185187
27343;Heineken 50cl 5,0%;-;0,89;1,78;-;-;-;5,0;35,6
27337;Montalto Acquerello Syrah 13,5% 75cl;-;4,99;6,65;-;-;-;13,5;49,25925925925926
27344;LĪVU Pilzenes alus 4.7% 50cl CAN;-;0,49;0,98;-;-;-;4.7;20,851063829787233
27346;Lielvardes Šokolades 5,6% 50cl;-;0,99;1,98;-;-;-;5,6;35,35714285714286
27349;STABURAGS Tumšais 5,2% 50cl;-;0,89;1,78;-;-;-;5,2;34,230769230769226
27347;LIELVARDES Tumšais alus 5.6% 50cl;-;0,89;1,78;-;-;-;5.6;31,78571428571429
27348;LIELVARDES Kiršu alus 5.0% 50cl;-;1,09;2,18;-;-;-;5.0;43,60000000000001
27334;Laurenz V.  Grüner Veltliner 12% 75cl;-;9,49;12,65;-;-;-;12;105,41666666666667
27350;STABURAGS Gaišais 5,4% 50cl;-;0,89;1,78;-;-;-;5,4;32,96296296296296
27351;STABURAGS Baltais 4,9% 50cl;-;0,89;1,78;-;-;-;4,9;36,326530612244895
27356;St.Remy XO 36% 70cl;-;14,60;20,86;-;-;-;36;57,94444444444444
27355;Beer Rock 5,3% 24 x 33cl;-;10,99;1,39;-;-;-;5,3;26,226415094339625
27514;Barone Montalto Nero d’Avola Rosato 12% 75cl;-;Barone Montalto Nero d�Avola Rosato 12% 75cl;6,99;-;-;-;12;58,25
